date,close,open,high,low,volume,fng_value,fng_classification,change_percent,next_change_percent
2025-01-02,96960.0,94561.1,97808.0,94381.2,76.13,70.0,Greed,2.54,1.25
2025-01-03,98167.5,96960.2,98963.3,96090.6,61.62,74.0,Greed,1.25,0.05
2025-01-04,98219.9,98168.9,98742.6,97568.9,36.56,73.0,Greed,0.05,0.13
2025-01-05,98347.7,98220.1,98823.1,97300.0,31.34,72.0,Greed,0.13,3.97
2025-01-06,102248.7,98373.2,102474.5,97932.3,86.73,76.0,Extreme Greed,3.97,-5.2
2025-01-07,96929.8,102247.9,102678.2,96201.3,99.77,78.0,Extreme Greed,-5.2,-1.92
2025-01-08,95066.6,96938.2,97266.4,92716.6,100.36,70.0,Greed,-1.92,-2.66
2025-01-09,92539.8,95066.6,95323.1,91241.9,132.78,69.0,Greed,-2.66,2.36
2025-01-10,94724.1,92540.5,95760.6,92310.6,125.42,50.0,Neutral,2.36,-0.12
2025-01-11,94612.0,94724.0,94765.5,93847.8,72.66,69.0,Greed,-0.12,-0.07
2025-01-12,94541.8,94600.0,95384.3,93711.2,17.6,62.0,Greed,-0.07,-0.01
2025-01-13,94536.1,94545.0,95928.1,89423.1,37.7,61.0,Greed,-0.01,2.12
2025-01-14,96542.1,94536.7,97361.2,94359.5,87.79,63.0,Greed,2.12,4.1
2025-01-15,100499.8,96547.4,100671.0,96501.9,95.32,70.0,Greed,4.1,-0.49
2025-01-16,100004.5,100499.9,100812.4,97400.2,87.08,75.0,Greed,-0.49,4.08
2025-01-17,104084.9,99991.9,105843.8,99956.2,127.33,75.0,Greed,4.08,0.43
2025-01-18,104536.9,104084.7,104953.1,102297.0,79.3,77.0,Extreme Greed,0.43,-3.08
2025-01-19,101319.5,104536.8,106338.2,99742.7,123.72,77.0,Extreme Greed,-3.08,0.87
2025-01-20,102197.7,101313.3,109228.6,99676.0,202.66,76.0,Extreme Greed,0.87,3.87
2025-01-21,106157.2,102190.2,107211.9,100192.5,129.36,76.0,Extreme Greed,3.87,-2.33
2025-01-22,103684.8,106157.2,106266.2,103354.4,77.56,84.0,Extreme Greed,-2.33,0.22
2025-01-23,103912.1,103681.3,106806.5,101281.6,141.8,75.0,Greed,0.22,0.91
2025-01-24,104862.3,103913.6,107102.2,102760.0,83.96,75.0,Greed,0.91,-0.11
2025-01-25,104742.9,104861.4,105255.6,104133.9,37.68,75.0,Greed,-0.11,-2.01
2025-01-26,102637.8,104743.8,105399.8,102543.8,32.18,73.0,Greed,-2.01,-0.53
2025-01-27,102091.7,102618.3,103234.8,97987.5,146.38,71.0,Greed,-0.53,-0.73
2025-01-28,101349.3,102085.2,103584.1,100288.0,74.69,72.0,Greed,-0.73,2.34
2025-01-29,103722.0,101342.1,104760.0,101340.6,74.38,72.0,Greed,2.34,0.97
2025-01-30,104726.9,103723.0,106409.1,103388.4,74.84,70.0,Greed,0.97,-2.2
2025-01-31,102424.2,104726.9,105876.3,101576.0,82.79,76.0,Extreme Greed,-2.2,-1.73
2025-02-01,100648.0,102421.3,102770.8,100293.5,47.48,68.0,Greed,-1.73,-2.94
2025-02-02,97684.9,100647.1,101451.0,96250.2,99.36,60.0,Greed,-2.94,3.74
2025-02-03,101337.1,97686.0,102372.2,91695.8,190.81,44.0,Fear,3.74,-3.5
2025-02-04,97793.4,101339.7,101692.9,96190.5,117.35,72.0,Greed,-3.5,-1.23
2025-02-05,96595.3,97784.8,99028.3,96163.8,82.92,54.0,Neutral,-1.23,-0.03
2025-02-06,96568.8,96606.3,99119.2,95706.6,76.92,49.0,Neutral,-0.03,-0.06
